"TIV of arms exports from Australia, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,10
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,18
,Indonesia,,,,,,,,,,,,,,,,,,,,3,0,,,26,3,6,3,,1,9,,5,14,9,,9,4,,,,,,,,,,,14,,,,,,4,,,,110
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0,3,,,,,,,,,33
,Laos,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
,Malaysia,,,,,,,,,,,,,,,,,,,,22,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,36
,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6
,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,6,,,,,,,,,,18
,Nepal,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
,New Zealand,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,6,,,,,,,,,,,,,,,,,,71
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,67,,,,,,,,,,,,,,,,201
,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6
,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,29,,3,2,,,2,5,,3,,,12,6,10,,,,,,,,,,,,,,,,,,72
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,24
,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,6
,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,12
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,24,13,,,,,,,,,,,,,,,,,,,,,,54
,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,,18
,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6
,UK,,,,,,125,,,,,,2,2,,,,,,,,,30,60,60,60,60,45,23,8,8,7,7,7,,,,,,,,,,6,30,,,,,,,,,,,,,,540
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,98,,,,,,,12,16,,,,,,42,30,30,2,,,304
,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,29,0,0,125,0,0,0,0,0,2,2,0,0,0,0,0,0,25,0,48,66,86,63,104,63,32,17,23,13,14,29,23,63,22,78,116,18,22,158,85,6,60,30,28,16,20,3,0,0,43,30,40,2,50,4,
