"TIV of arms exports from Canada, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,12
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,,,2,2,,5,,,,,,,,4,,,,,,,,,23
,Argentina,,,,,,,,,,,,,,,0,1,1,,11,9,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,40
,Australia,,,,1,,0,,1,,,0,0,,23,23,23,26,,8,4,,4,,,,,,,,,,,,49,,,,3,5,7,11,14,,,8,85,21,,,,40,,1,27,37,18,,439
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,36
,Belgium,,,,,,,,43,247,24,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,,352
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,4,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,29
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,16,53,,,,,,,,,,73
,Brazil,,,,,,,,,,,,12,,,,,,,,159,159,,,,,,,,2,4,4,4,4,8,14,14,12,12,12,12,12,11,,,,,,,,,1,,10,6,15,15,22,524
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4
,Cameroon,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,26,26,,,13,,,,,,,,,,,,,,,,,,,,,,73
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
