"TIV of arms exports from Czechoslovakia, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
,Albania,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,1,1,49,,,,,,,,,,,,,,,,133
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Austria,,,,,,,0,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Bulgaria,,,,,,,,,,,,,,8,19,19,19,19,19,19,25,32,15,15,,,,,,,,,,,,6,48,24,,,83,,,,,,,,,,,,,,,,,370
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7
,Cuba,,,,,,,,,,,,26,1,1,,4,4,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,138
,East Germany (GDR),0,,,,1,,,1,,,,,,,,57,38,,,,2,,,,3,,,84,108,14,25,20,39,23,,,,,,6,,,,,,,,,,,,,,,,,,421
,Egypt,,,,,,0,0,9,9,,,,,,,38,38,58,58,292,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560
