"TIV of arms exports from Denmark, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Chile,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,20,,,10,,,,,,,,,,,,,,,,158
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,,,,,,,21
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,58,58,,,,,,,,,58,173,,,387
,Iceland,,,,,,,,,,,18,,,,,,,,23,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,226
,Israel,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,3,,,2,12
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,40,,,,,,,,,,,,,,,,,80
,Myanmar (Burma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,40,,,,,,,,,,,,,,,,,,,,,,,,,60
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,16,,,,,,,,,,,,,18
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,20
,South Africa,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,8
,Sweden,,,,,,,,,,,,,,,,,,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,81
,Turkey,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,110
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,246,,,,,,,,,,,,,428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,0,0,0,0,18,0,0,0,60,20,0,131,29,3,0,0,0,0,0,23,0,0,0,0,20,25,65,235,0,0,0,121,42,0,80,10,0,248,327,8,0,0,1,3,19,1,6,61,173,0,3,
