"TIV of arms exports from Germany (FRG), 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,,,,,,,3,,,,,12
,Argentina,,,,,,,,,,,,,,,,,,,,,3,3,,2,288,,5,,,9,25,64,79,842,509,409,169,137,3,,134,,,,161,7,,18,25,,134,,,,134,,,3160
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,45,60,135,,,,,,,,,,,,,,,,,,236,,236,,,236,236,236,236,236,236,2128
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,51,17,,,0,5,6,5,5,,92
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,45,,,88,,44,76,76,44,,,,,2,,,,,,,,,,,,,378
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8
,Belgium,,,,,,,,,,,0,1,0,,,6,,,197,207,207,181,,,,50,50,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1398
,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4
,Brazil,,,,,,,,,,,,,,,,,,,,,,25,25,1,0,0,35,10,36,28,10,2,,,,1,1,1,1,146,1,5,5,,145,30,150,,,160,,,,,,,140,958
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,13
,Burundi,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,13
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,143,,,,,,,,,,,26,,,,,,,,,23,38,31,,,,,,423
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,6,,,,,,,,,10
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,38,4,,,,210,,1,,,7,15,2,,,,,,44,44,,5,,,,,1,1,383
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,12,12,12,12,12,12,12,12,12,12,12,12,16,12,17,7,12,17,12,13,11,13,25,17,8,339
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,147,435,2,,,,,,,,,,,,17,17,,,,,,,,,884
,Costa Rica,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0
,Denmark,,,,,,,,,,,,,,,5,5,,,,,63,,,,,,280,268,188,,1,1,1,,,,,,,0,61,51,0,16,16,8,16,1,8,8,,8,21,34,77,40,,1177
,DRC/Katanga,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,DRC (Zaire),,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0
,Ecuador,,,,,,,,,,,,,,,,,,,,,,46,,,,,44,193,105,,,,5,14,10,,,,,,,,,,1,2,,,,,,,,,,,,420
,Egypt,0,0,0,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,8,16,,,,7,10,10,10,10,10,7,7,6,6,6,6,,,2,10,24,122,,,,289
,El Salvador,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,7,,9,,,9,,,2,5,,,46
,Ethiopia,,,,,,,,,,,,,,,,,,,,,1,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,3,,,,2,9,139,40,62,,,,2,,,,,198,8,12,2,486
,France,,,,,,,,,,,,,3,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,95
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,111
,Greece,,,,,,,,,,,10,,,,110,,,46,30,30,134,114,278,,,55,112,142,78,300,177,169,,193,136,54,0,,125,13,71,80,302,314,675,185,239,,501,101,118,,6,123,125,94,1016,6256
,Guinea Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,20
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,40,,23,,,,,,,,,,,,86
,India,,,,,,,,,,,,,,,,,38,115,,,,,,,,115,,,,,,,,,3,8,404,38,43,45,49,49,222,37,215,26,24,24,20,28,180,13,18,25,16,25,25,1805
,Indonesia,,,,,12,18,18,12,18,88,94,,,,,,,,,,,,,,,,,1,10,14,8,217,,5,50,5,4,,27,25,2,2,25,234,508,260,198,,,2,60,7,31,6,31,6,,1998
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,96
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,26,14,13,,,,25,18,13,,,,,,,,,,,,,,,,,121
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,4,4,,14
,Israel,,,,,,,,,,,45,,53,58,12,12,,,281,105,263,23,,10,10,5,5,,5,5,10,5,5,,,,,,,,,5,,,1,1,8,4,1,480,278,38,43,208,9,9,9,2006
,Italy,,,,,,,,,,,,1,9,9,9,9,,,1,0,,193,229,67,322,272,267,267,267,141,141,15,65,64,40,43,48,48,46,10,10,10,12,8,8,35,35,5,5,6,,,,3,3,23,573,3319
,Japan,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,1,1,,,,,,34,28,30,30,30,30,31,23,18,18,17,17,9,7,7,7,,,,,,,,348
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,4,16
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,19
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,63,195,,,,0,0,1,,,,2,,,,,8,8,,,,,1,,410
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,8,,,,4,,,,,,,,34
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,1,,,6
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,28,48,44,40,,,,,,,,,,,,,,,,,,,,,,166
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,4,3,4,2,,31,3,4,60
,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,10
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,6,,,,,,5,,2,,2,,,,,,,,,,,,,,,,,21
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,90,45,,,45,68,105,168,410,1,,,,,,,,2,,3,,20,,36,,0,,,1,1,310,1305
,Malta,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,6,,,,,,,,,,18
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,22,,,,,,,25
,Mexico,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,,,,7,,,,,5,,,5,,,,,,,,,,,,,30
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,41
