"TIV of arms exports from Israel, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,10
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,48,48,49,67,45,,,,,,,,,,,,3,,3,2,3,4,,3,,,,,305
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,13,5,18,64
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,2,,,,,6
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,0,,,11,11,11,11,,,,,15,67
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,4,,,,,,,,,12
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,48,18,30,,,43,,5,,,53,1,1,3,32,35,53,35,40,,,1,7,23,23,8,8,8,495
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,38,38,28,28,,,,,,356
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,102,,,,,,,,,,,,,,,,,,113
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,1
,DRC (Zaire),,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,4,,,9,,,60,60,,2,,,,,,,,,,25,,,19,4,,,,,,,205
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,2,21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,1
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,3
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
,Germany (FRG),,,,,,,,,,,,,,,,3,5,5,5,5,3,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,26,,5,5,5,5,92
,Ghana,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,70,,,105
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,25,11,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,39
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,India,,,,,,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,39,10,22,28,64,95,159,129,147,752
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,38,,26,26,,,,,,,,,,,,,,,,,,,,,,,,103
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,,44
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,12
,Lebanon/LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,,,,,,,,,,,,,,,,,,,,21
,Lebanon/SLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,9,23,1,,,,,,,,5,,,,,,,,,,,49
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,7,11,,18,,2,2,,,,,,,,,,,,4,4,4,4,,,,,,,,19,,150,11,,236
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,26
,Myanmar (Burma),,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,Nepal,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,10
,Nicaragua,,,,,,,,4,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,11
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,0,,,,,,6
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,8
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,9,11,18,20,22,18,18,15,10,155
,Singapore,,,,,,,,,,,,,,,,,,,,16,,19,26,,7,7,7,32,,,,,,,,,,,,2,16,16,,,,,61,62,38,18,42,45,23,23,13,6,3,482
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,,,,,,,,,,20
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,119,63,65,9,9,123,9,7,226,1,,,,,,,,,,,,6,12,,,,,,,789
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,19,,,,,,,40
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,13,,,27
,Sri Lanka,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,0,,100,1,,,,8,,164
,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,4
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,25,95,95,95,95,95,105,15,15,15,15,15,8,,,,,,,,9,,,,,,,715
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,33,6,3,,,4,4,4,,,,,,27,,4,,,,,,,,2,,,1,,,,,,88
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,86,48,10,3,32,225
,Uganda,,,,,,,,,,,,,,,4,,1,0,18,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,3,,52
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,1
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,14
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,48,1,1,1,18,43,62,12,29,12,28,39,,68,122,108,84,78,46,27,870
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,19,,,,,7,3,,,,,,,4,,,,,25,,9,9,9,114
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,39,0,4,0,23,0,0,0,0,7,11,14,13,31,26,13,19,26,17,50,121,64,200,203,181,247,195,228,382,253,177,380,99,44,180,69,83,87,126,79,114,218,230,192,129,345,338,407,356,550,261,289,
