"TIV of arms exports from Spain, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,52,78
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,15,,,,20,5,,,,,,,,,,,,,70
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,70,,,,,,8,8,,,,,,,,,,,,,,,,,104
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,8
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,8,,,,,,,,,,,,,,24
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
,Chile,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,38,,,,16,16,,,8,12,12,20,28,12,4,8,16,8,8,32,,,,3,,,,,239,508
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,20,,57,,,,,43,,5,,133
,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,12
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,16,,,,,,,,,,,,,,,17,16,,52
,Egypt,,,,,,,,,,,4,14,18,18,21,21,21,21,21,18,,,,,,,,,,,,,,,218,18,9,,,,,,,,,,,,,,,,,,,,,422
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5
