"TIV of arms exports from Sweden, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,247,,247,240,,487,7,252,13,13,12,1537
,Austria,,,,,,,,,,,1,9,10,10,11,2,,,,,70,118,90,,,,,,,,,,,,,,,,102,76,2,2,2,1,,,,,9,15,15,15,,,,,,560
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,,13,,7,7,7,7,,,,,,,,,,,,,,,,,,61
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,4,4,,0,,,,20,18,,,,,,,,3,4,1,,,,,48,32,,,,149
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,35,18,15,,,,,,,,,,,91
,Chile,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,135
,Colombia,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,9,397
,Denmark,,,,,,,,,,,,,,,,,,,,,190,325,,,,56,12,26,15,,2,2,2,,,3,3,3,,3,5,10,8,8,5,3,5,,,6,24,62,,,2,2,38,820
,Dominican Republic,,,34,,,5,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,0,0,,,,1
,Ethiopia,,19,,,1,1,,1,,,2,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
,Finland,,,,,,,,,3,,1,,,3,,,1,,10,,,,28,3,71,70,43,,,5,,29,,,31,90,56,51,114,,23,23,46,5,5,5,5,,11,6,5,5,5,32,69,60,68,982
,France,,,,,,17,28,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,15,15,,,116
,Germany (FRG),,,,,,,,,,10,30,25,25,10,10,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,11,1,,3,183
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,80,,,54,50,,208
,Guatemala,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,275
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,49,98,91,32,7,,,,,,,,,,,,,,,,288
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,31,,,,,,3,3,,,3,3,,,,,,,5,,3,,3,,,79
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,3,,,,,,,,,,,,,,,,,,,,,8
,Israel,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,6,6,13
,Japan,,,,,,,,,,,,,,,10,,10,10,10,15,10,,5,,5,,,5,10,,,,,,,,,,,,,,,,,,,18,,,,10,,,,,18,136
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,16,,,,,,,,,,,,,,,,,,,,,,,52
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,1,0,0,,,4,6
