"TIV of arms exports from Switzerland, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,12,,,,,6,,,8,,,,,,,,,,,,,,,,,29
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,13
,Australia,,,,,,,,,,,,,,,,,,,7,4,,3,,,,,,,,,,,,,,,,7,11,17,25,34,,,,,,,,,,,,,,,,108
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,2,8,6,,1,,,,,,,,,,,,,,,,,32,16,,76
,Bolivia,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,5,9,,,21
,Brazil,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,10
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,23,,,,,,26,9,81,149,145,35,,,16,16,16,50,56,37,25,25,3,,,787
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
,Chile,,,,,,,,,,,,,,,,,,2,,1,,5,,,,,,,,,10,1,4,4,5,5,5,5,5,4,4,3,1,,1,1,1,1,1,1,0,,,,,,14,84
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,80
,Colombia,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,,,,,,,,,,28
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,,,,,,,,,,,,,,,,,26
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,1,6,,,,,10,13,37
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,10
,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
