"TIV of arms exports from USA, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12
,Afghanistan/Mujahideen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16,40,8,0,,,,,,,,,,,,,,,,,,66
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
,Algeria,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,24,0,,114,84,200,167,15,,,,2,29,,,,,,,,,,30,75,44,,,,,786
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,10
,Angola/UNITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,,1,,,,,,,,,,,,,,,,,,26
,Argentina,54,443,38,4,10,1,39,15,67,32,85,181,44,6,4,4,62,128,92,30,174,240,307,97,130,141,159,74,153,80,50,36,8,28,22,38,,8,3,3,14,3,22,14,54,62,32,113,185,278,70,2,13,12,16,4,17,4001
,Australia,,21,100,,,10,82,102,217,231,48,29,198,23,41,595,389,438,115,339,182,179,15,620,751,57,42,140,799,141,363,331,83,527,608,538,689,580,736,646,298,93,341,464,261,64,52,27,21,269,208,128,196,263,217,225,401,14533
,Austria,,,,2,,,40,53,42,8,,,,,,13,,,,,26,,,50,58,93,53,51,,,,,,105,,,,5,18,14,,,,,,,,26,27,,,,61,,,,,745
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,54,,,,,,,59
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,6,10,10,43,43,151,46,,362,65,35,0,,36,172,67,6,6,299,6,58,6,,53,,1482
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,18,5,,,,,,12,,,16,22,,,9,,1,,,61,,,,,,,169
,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
,Belgium,35,320,569,451,174,329,340,305,348,102,93,30,33,666,708,504,6,6,6,,,,168,168,,,82,64,14,475,248,428,343,539,561,266,85,85,401,200,310,114,13,11,11,5,4,24,36,57,24,24,27,27,12,,,9851
,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
,Benin,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Bolivia,,6,,,2,,,,26,3,,2,2,4,4,1,1,14,14,1,2,1,9,9,2,18,17,1,4,1,1,3,2,,,7,7,,56,61,,10,7,10,9,,,,,9,18,,,,,,20,364
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,,16,,,,,,,,84
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,17,15,1,9,,,2,,,,18,,,,15,,,,,,77
,Brazil,,246,,28,8,28,8,85,117,119,49,200,27,67,11,132,41,221,150,31,69,49,289,349,142,429,167,9,80,10,9,5,1,1,1,3,14,100,44,346,38,12,7,,37,,45,129,,14,27,120,70,8,57,52,16,4317
,Brunei,,,,,,,,,,,,,,,,1,,,1,,5,10,,,15,,,,,,,1,13,29,,,13,,,,,,,,,,7,15,7,,,,,0,0,,,117
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
,Burkina Faso,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cambodia,,,,,1,,9,1,4,,,0,4,6,4,,9,2,,2,6,18,88,98,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275
,Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,9,,,,,,3,,,,,,,,,,,,,,,,,100
,Canada,529,896,956,1272,975,1019,676,218,152,192,182,1721,1003,896,634,439,273,104,276,504,579,623,260,44,161,187,13,13,13,35,383,396,189,614,615,811,814,769,655,14,19,430,123,132,325,280,293,244,70,104,166,93,31,52,74,100,101,22742
,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
