"TIV of arms exports from USSR, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan,,,,,,4,3,93,261,418,34,54,64,39,56,71,183,174,100,92,9,83,58,,,90,230,50,246,364,423,441,258,172,314,154,310,540,1087,2329,2165,1331,,,,,,,,,,,,,,,,12300
,Albania,14,10,3,4,6,122,99,33,40,136,63,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574
,Algeria,,,,,,,,,,,,7,35,50,149,306,459,542,48,78,0,,148,153,13,56,68,1032,1592,2049,1423,1088,1139,355,236,223,164,352,273,454,654,867,,,,,,,,,,,,,,,,14013
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,194,138,99,141,99,149,210,342,521,455,484,758,1253,1054,135,137,,,,,,,,,,,,,,,,,6169
,Austria,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,72,42,,,,,,,23,,,,,,,,,11,,,,,,,,,,,,,,,,,148
,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,30
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Bulgaria,42,47,80,318,622,300,315,456,633,165,499,557,548,584,317,337,174,309,230,605,648,365,489,320,300,345,368,471,907,317,597,945,547,481,716,634,1054,501,277,398,667,337,,,,,,,,,,,,,,,,18822
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,50
