"TIV of arms exports from all, 1950-2006"
"Generated: 29 October 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan/Mujahideen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
,Albania,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Algeria,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,6,,,,,,8,,,,,,,,,,,,,,,,,,,,,17
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,20,,,,,,,,,,1,,,,,23
,Argentina,,,,,,,,,,,,,6,,4,,,0,8,,0,,7,,,,1,,,6,1,22,3,1,8,,,4,,,6,0,,10,4,3,,,,,2,4,,,,,,100
,Australia,,,29,,,125,,,,,,2,2,,,,,,,26,0,48,66,86,63,105,63,33,17,23,13,14,30,23,63,21,78,116,18,22,159,85,6,60,30,28,16,21,3,,,43,30,40,2,50,4,1663
,Austria,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,,,36,118,50,66,52,52,51,329,37,29,10,8,24,13,14,6,11,,,1,22,31,21,15,82,3,3,3,61,1156
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,131,416,58,476,261,299,54,80,50,24,,1865
,Belgium,,,,,9,9,22,,,,3,0,3,1,1,,11,,,31,,,,,,,,,2,2,1,12,40,87,93,2,,,49,25,1,1,,,22,299,72,90,39,39,22,36,34,15,47,185,50,1355
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
,Brazil,,,,,,,,,,,2,12,,,,,,,,3,,0,,,3,58,63,150,166,33,201,179,227,302,234,180,139,229,265,76,86,100,84,32,54,28,20,20,11,,,,26,,56,61,1,3101
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,106,,,5,6,42,16,28,56,2,23,4,39,160,2,4,32,48,,,,577
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,1
,Canada,35,60,268,75,267,220,239,165,420,102,58,302,185,215,252,111,90,44,97,258,192,154,309,93,102,33,197,119,174,146,151,112,239,133,91,89,250,260,198,50,90,105,115,119,145,326,137,89,34,75,83,129,182,279,305,193,227,9188
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,20
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,1,,,3,3,5,5,,3,1,,,,30,,2,1,1,,2,,,,,57
,China,,,8,16,19,16,51,30,476,374,303,35,52,6,55,350,606,343,573,446,739,1297,1271,695,608,560,584,231,634,597,971,706,1587,1900,2148,1411,2130,3420,2103,1035,937,1124,624,1341,1017,1017,780,458,401,299,228,498,544,553,271,223,564,39265
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,13,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,89
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,43
,Czechoslovakia,15,15,15,8,47,947,1557,1574,1530,937,622,198,172,222,478,629,704,705,789,847,597,576,793,740,898,550,641,705,784,772,763,866,867,973,1036,987,1218,1247,1284,1034,587,371,207,,,,,,,,,,,,,,,30507
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,260,122,106,22,18,54,78,89,58,64,1,40,56,1113
,Denmark,,,,,,,,,,,18,,,,60,20,,131,28,3,,,,,,23,,,,,20,25,65,235,,,,121,42,,80,10,,247,326,8,,,1,3,19,1,6,61,173,,3,1729
,DRC (Zaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,East Germany (GDR),,,,,,,,,,,17,25,17,29,39,26,,,,,,,,,,,12,12,,20,20,44,3,,,,49,146,146,178,97,,,,,,,,,,,,,,,,,880
,Egypt,,,,,,,8,5,4,4,,0,7,8,1,,14,,12,,,,,,,16,,68,78,18,29,75,80,70,9,5,18,60,63,57,15,,10,7,12,7,5,5,,,,38,,,,,,808
,El Salvador/FMLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,51,,,,,,,,,,,,,,,,,,,,73
,Finland,,,,,,,,,,,60,1,,,,1,86,33,33,33,2,43,30,,63,63,,,63,63,,,20,,,,,,1,,,8,3,8,14,20,8,10,23,19,9,12,18,23,21,25,31,847
,France,13,56,36,274,328,423,834,599,644,728,1071,1003,1081,1251,1435,1249,1697,1571,1819,1265,1686,2198,2390,2642,1934,2388,2219,2789,3186,3178,3436,3501,3630,3051,2889,3789,2943,1706,1772,2066,1609,966,1008,792,732,795,1763,3083,3336,1786,1027,1199,1312,1282,2687,2050,1557,97754
