"TIV of arms exports from Brazil, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,15
,Argentina,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,9,12,,,,21,21,,,,,,,,,,,,,,,,,,,75
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,10,10,,5,,2,,1,,,,,,1,,,,,,,,,,,,,9,,41
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,13,9,2,18,18,,,,,,,,,,,,,,,,,,,,,,,,,71
,Colombia,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,48,48,,,,,,,,15,10,,,,,,,,,,,,,0,124
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,19,18,18,,,,,,,,,,,,,,,,,,,98
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,15,,39
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,17,14,7,,20,,,,,,,,,,,,,,,,,76
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,39,,,,,,,,,3,,28,20,20,,,,,,,,,,182
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,10,3,,,,,,,,,,,,,,,,,,,,,,,24
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,48
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,5
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,17
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,28,,,,,,,,,,,,,,,,35
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,144,144,131,51,81,54,108,141,36,,,,,,,,,,,,,,,,,,1034
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,4
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,144,144,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,384
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,26
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,36
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,54
,Paraguay,,,,,,,,,,,2,,,,,,,,,,,0,,,,19,,,6,,13,2,,,3,36,4,,8,,,,,,,,,,,,,,,,,1,,94
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,14,,8,,,,,,,,,,,,,,50
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,25,,,,,,,,,,,,,,,39
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,4,29,25,10,,,,,,,,,,,,,,,99
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,38
,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,30
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,8
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,34,34,34,34,11,,,,,,,,,,,,,,184
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3,,2,,,2,,7,,,,,,,,,,,,,,,,,,,,,1,28
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,21,22,,,,,,,,,,,,,,,,,,,,47
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,11,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,3,0,0,0,0,3,58,63,150,166,33,201,179,228,302,234,180,140,230,266,77,87,101,85,32,54,28,20,20,11,0,0,0,26,0,56,61,1,
