"TIV of arms exports from France, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
,Algeria,,,,,,,,,,,,,18,,1,19,,,,,25,25,,,,,,,,,,,,3,3,,,,,,,,,,,3,,,,,,,,,,8,8,113
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,23,5,20,,,,,,,,,,,,,,,,,,,53
,Angola/UNITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2
,Argentina,,,,,,,1,,13,9,8,8,9,7,6,,23,,,62,42,14,66,97,4,9,16,16,195,90,93,191,127,89,33,,20,,,,,,,,,3,23,,,60,,,,,,,36,1370
,Australia,,,,,,,,,,,,,,27,290,282,282,252,148,,,,,45,22,,,,,,,2,25,25,22,1,150,,,,,,,,,,20,,20,15,,35,5,20,28,56,80,1852
,Austria,,,,,,,36,36,6,11,11,13,,2,,3,,36,,,10,17,13,6,6,,,,,,,,,,,,,,,,,,,7,18,15,10,33,38,33,,,,,,,,360
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,2,,,21,,10,10,10,10,,,,,,14,,,,,,,,,,,,95
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,3,,,,,4,5,,,,,,,,,,,4,,,,8,,,,,,35
,Belgium,,1,1,1,1,1,,5,12,7,44,54,26,20,23,23,38,28,13,12,295,305,319,309,,,,,131,150,150,17,17,,,,,,,,,10,10,35,35,11,,5,,,5,4,,,,,,2118
,Benin,,,,,,,,,,,,2,1,,2,,0,,,,,1,,,,,,,,,,,3,1,1,1,,1,0,0,,,,,,,,,,,,,,,,,,13
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10,11,,,,,15,8,,,,,,,,,,,,,,,,,,,,,46
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,10,,1,3,,,,19
,Brazil,,,,,,,,,,,28,6,,6,,,,,5,7,,,91,91,,33,29,,32,15,19,36,27,27,47,41,64,105,66,181,52,96,18,5,16,6,7,19,48,83,63,363,15,20,20,,55,1842
,Brunei,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,8,,,,,,,,,,,2,2,,,,,,,,5,,3,0,,,1,3,29
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
,Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,,1,1,,,,,8,8,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,28
,Burundi,,,,,,,,,,,,,,,,,4,2,,3,,,,0,,,,,,,,,2,7,2,,,,,,,,,,,,,,,,,,,,,,,20
,Cambodia,,,,,0,12,12,13,,2,1,4,4,2,15,31,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,109
,Cameroon,,,,,,,,,,,,0,,1,0,2,2,2,2,,,,1,15,,,12,,,2,,,5,2,116,,11,5,1,1,10,,,,,,,,,,,1,,,,5,,196
,Canada,,,,,,,,,,,10,10,10,10,4,2,,70,,,,,,,,,,,,,,,,,,,,,,,,,2,4,17,16,17,16,6,17,,,,1,,,1,213
,CAR,,,,,,,,,,,,2,,,,1,2,,3,,,,,,,,,,0,,,,,4,1,,,,1,,,,,,,,,,,,,,,,,,,14
,Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,7,3,,,10,,,24,,1,13,12,,,,,,,,,,,,,,,,,,,,98
,Chile,,,,,,,55,,,,,,,,,,,,,,,,2,94,16,23,3,8,12,8,52,72,78,87,14,,15,7,,32,17,58,32,32,15,54,26,1,18,12,7,,4,,21,239,,1114
,China,,,,,,,,,,,,,,,,,,14,,,,,,,,,,81,81,,,,3,,,,,26,38,74,54,68,47,42,85,90,96,59,46,77,52,46,48,44,58,60,44,1333
,Colombia,,,,,,,,,,,,,,,,,,,,,2,2,104,104,2,2,,,,,,,,53,67,,,1,1,,,,,,,,,10,,,,,,,,,,348
,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
,Congo,,,,,,,,,,,1,0,,0,,0,,,,1,1,2,,,7,,,,8,,,2,,,,2,,,3,,,,,,,,,,,,,,,,,,,27
,Cote d'Ivoire,,,,,,,,,,,,2,1,1,,,2,3,20,2,8,,0,,18,,,16,25,25,57,20,,,10,,,,,1,,,,,,,,,,,,,,,,,,211
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8,8,9,84,9,43,65,,,46,,,,,,2,6,,,,,,294
,Denmark,,,,,,,,,,,,,7,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,7,7,3,3,3,86,,10,29,,,4,4,4,,,,176
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,31,2,2,2,3,,1,,1,,,,,2,,,,,,,,,,,,,,,50
,Dominican Republic,,,,,,,,,16,,,,,,1,,,,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,19
,DRC/Katanga,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,DRC (Zaire),,,,,,,,,,,,,,,,4,7,,,,,77,16,3,,257,,,9,,,5,10,5,16,,,,,,,,,,,,34,,,,,,,,,,,443
,Ecuador,,,,,,,,,,,,,,,,,,,,,,26,35,,2,14,81,71,8,99,106,110,146,62,56,14,5,14,,,,20,,,,,4,5,6,,,,,,,,,884
,Egypt,,,,,42,72,,,,,,,,,,,,,,,,,,67,185,182,34,222,74,48,274,110,108,367,182,183,144,344,47,28,27,,,,,,,,1,1,1,,,,,,,2743
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2
,Ethiopia,,,,,,,,,,,,,,,,1,1,5,1,,5,,20,,,,0,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,4
,Finland,,,,,,,,,,34,3,18,19,19,18,18,18,2,,,,,,,,,,,,,,,,,,,,,,,4,4,139,272,99,4,4,4,5,5,5,5,4,,,,,703
,Gabon,,,,,,,,,,,,3,,,3,0,2,,2,1,1,9,,2,9,1,16,,74,,18,,,1,84,2,7,9,34,,28,,,,,,,,,,,,,,,,,306
,Germany (FRG),,,,,,,23,89,282,392,496,428,403,167,215,80,323,251,219,157,51,15,56,299,412,364,50,50,50,,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,4883
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Greece,,,,,,,,,,,,,,,,,,6,,,,148,222,,,82,202,387,682,4,180,179,4,4,,,,,262,352,8,8,260,38,38,9,9,10,8,103,2,74,16,50,526,469,65,4407
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Guinea,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,8
,Guinea Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1
