"TIV of arms exports from Italy, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,9
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,6
,Argentina,5,,,,,,,,,,,,,,,,,,,34,4,11,11,,,,6,42,13,31,332,13,13,41,53,10,6,27,30,3,3,,,,,,2,,6,6,2,,,,,,,704
,Australia,,,,,,,,,,,,,,,,,,,38,34,38,42,32,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,110,55,55,110,,,,,524
,Austria,,,,,,,,2,,,,,,11,56,62,60,11,,6,3,,,,,,,,,16,82,,25,38,,75,75,,,,,,,,,,,,,,,,,,,,,522
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,49
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,16,52
,Belgium,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,40,53,6,,,,,,,,,,,,,107
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Brazil,,,,,,,,,,,,,,,,,,,,,,11,43,43,43,43,48,58,51,43,22,17,17,53,56,5,18,5,10,12,10,7,7,5,7,10,,3,,,,18,18,5,32,40,18,778
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,32
,Canada,,,,,,,,,,,,,,,,,,,,11,,,16,5,,,,,,,,,,,,,,,5,15,15,15,,,,,,,,,,13,52,33,,,,180
,CAR,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Chile,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,8,,,18,18,63
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,12,,,5,10,5,3,,10,,3,,,,,,63
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,11,,,26
,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,4
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,5,12,12,,,,,,,,,,,,,,,44
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,19,19,4,13,13,96
,Denmark,,,,,,83,42,42,1,,,,,,105,105,,,,,,,,,,,5,13,8,,7,7,7,,,,,,,,,5,5,,,,,,13,,,,,,,,,448
,DRC (Zaire),,,,,,,,,,,,,,,2,3,,,,22,15,3,,,,,,,,12,7,,,,,1,1,,,,,,,,,,,,,,,,,,,,,66
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,94,264,179,,,,,,,,,,,,,,,,,,,,,,,543
,Egypt,55,17,,,,33,,,,,,,,,,,,,,,,,,,,17,17,,,,,33,216,13,20,38,45,45,,,,,,,,,,,,,,,,,,,,549
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,4,,,,,,,36
,Ethiopia,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,18
,Finland,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,18,,,,,,,,4,4,4,,,,,,,,,4,,,,,,,,,,,53
,France,,,,,7,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,38,,,,,,,,,,,,,38,200
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,9
,Germany (FRG),,,,,,,,23,30,,87,293,380,389,571,393,264,88,,25,29,25,,,,,,,,,,,5,5,5,,,,,3,3,,,6,3,3,5,,,,,,,,6,3,,2644
,Ghana,,,,,,,,,,,,,,,,,13,,,,,,4,,,,,,14,,,5,,,,,,10,,,,,,,10,,6,4,,,,,,,,,,66
,Greece,,89,,,,,,,,,,,,,,,5,,,26,29,,,43,,39,,15,57,89,15,56,51,30,135,53,56,5,5,,,,,,,7,,,,,,,,140,6,71,115,1137
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,9
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,,,13,25,80
,India,,,,,,,,,,,,,,,,,,,,,,178,158,158,158,158,158,158,160,160,160,3,3,3,3,3,3,1,1,,,,,,,,3,3,,3,20,9,9,7,23,20,27,1750
