"TIV of arms exports from Japan, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15
,Brazil,,,,,,76,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,,,,,,,,,,,,,,,45
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3
,Gabon,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,45,,,,,,,,,,,,,,,,,,,,,,105
,Indonesia,,,,,,,,,,0,,61,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,146
,Myanmar (Burma),,,,,,,2,,1,,,,,,,,,,,14,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Philippines,,,,,,,,,3,41,,,,,,,1,,,,,,,,40,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,South Korea,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Sweden,,,,,,,,,,,,,,,,,,,,,,,4,17,13,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,61
,Taiwan,,,,,,28,,74,0,0,,,,,,,,,,13,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,211
,Thailand,,,,,,,,,,,,,,7,13,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,75
,Uruguay,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,126,153,162,158,113,32,,,,,,,,,,812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,104,40,112,4,41,0,61,104,11,15,0,6,0,0,29,0,15,4,17,53,0,0,0,10,56,166,0,0,45,30,75,96,0,0,15,30,68,126,153,162,158,188,32,0,0,0,0,0,0,0,0,0,
