"TIV of arms exports from Netherlands, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,45,15,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,12,,19
,Argentina,,,,,,,,,,,,,,,,,,,279,60,,31,,,10,,,,81,20,5,15,,92,25,12,12,12,,,12,,,,,,,,,,12,,,,12,,,690
,Australia,,,,,,,,,,,,,,19,10,10,,,10,29,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,44,98,,,,,,,,,178
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,9,0,2,,,,,,,,,16
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,19
,Belgium,24,95,102,113,95,,,,,,,,,,,,,,,,,,,,,0,,,46,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,478
,Brazil,,,,,,200,4,5,5,6,6,,,,,,,,,,,2,2,,,,3,1,2,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,239
,Canada,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,,,,,,,,,,,,,,,28,37,18,100,18,18,,,,,,,,,,,259
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
,Chile,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,159,138,,11,,,205,386,938
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,Denmark,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,,,,,,,,,13,13,,40
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,192,4,,,,,,,,155,,376
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Finland,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,1,,,,,1,,,10,37
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,15,87
,Germany (FRG),,,,,,,,,,,,20,20,11,18,4,,,29,25,,,,,,,35,15,,,,,52,62,57,,,,,19,19,30,,,31,31,75,,,,,,,,95,123,525,1296
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
,Greece,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,283,328,,,,,,,,,37,122,194,141,129,24,123,75,,,129,129,258,74,22,14,2102
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Honduras,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,India,,,,,,,,,,,,,,,,,,,,,,,,,11,,15,15,,,15,15,,19,,12,,,31,150,150,125,125,125,125,107,100,121,107,69,33,19,,,27,25,21,1562
,Indonesia,163,57,14,,,,,,,,,,,,,,,,,,,,,,,,60,6,6,115,267,60,2,,,,161,86,192,156,5,5,,,,,,,,,15,,7,,7,,,1384
,Iran,,,,,,,,,,,,,,,,,,,,,,45,,23,23,23,30,40,35,,,30,,,11,22,,,22,22,22,22,,11,11,22,,,,,,,,,,,,414
,Ireland,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,25,25,25,,,,7,,,,,,,,,,,,,,,,,,16,,,,,113
,Israel,,,,,6,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Italy,,,,1,4,4,4,4,3,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,38
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8
,Malaysia,,,,,,,,,,,,,,,,,,,,,,16,,,,,20,10,,,,,,,28,7,,7,,,,,,,,,,,,18,,,,,,,,106
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
