"TIV of arms exports from Serbia & Mont., 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Cambodia,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,2,4,,,,,,,,,,,,,,,,,,,14
,DRC (Zaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
,Egypt,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,6
,Ethiopia,,,,,,,,,,,6,,,,,,,,,,,,,,,3,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Indonesia,,,,,,,,,24,,,,,,15,21,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,135
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,75,,,,,,,,2,18,9,,,,,,,,,,,,,,,,,124
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,447,,,,,,,,,,,,,,,,502
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,,20,83,83,,,,,,,,,,,,,,,,,,,,,,,301
,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
,Myanmar (Burma),,,,,,,,,51,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,6,,,4,,5,119
,Peru,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Sudan,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,42
,Zambia,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,17,0,75,0,6,0,0,0,15,32,0,0,0,14,0,21,0,18,0,9,31,36,43,23,98,75,25,85,85,19,5,2,6,18,64,499,24,0,0,0,0,2,0,0,0,7,0,0,4,0,5,
