"TIV of arms exports from UK, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan/Mujahideen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,,,,,,,,,,,,,,,,,,,,21
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,81,18,,,,,,9,9,9,,,,9,9,,,9,,9,,9,,189
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,15
,Argentina,,,,,,,,,,120,,,,,,2,,,39,8,42,61,,,,,316,3,23,3,9,315,,45,15,,,,,,,,,,,,,1,,,,,,,,,,1002
,Australia,415,310,259,173,120,584,344,316,234,169,40,,521,103,152,1,3,80,117,504,12,14,10,15,50,50,,80,113,60,48,80,42,85,55,5,5,9,6,30,7,7,7,,,,6,,,,63,278,114,29,16,8,,5749
,Austria,,,,,,,,29,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,18,6,,3,,,,,,37,18,,,115
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,17
,Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,6,,,,,,,,3,1,,,,20,,,0,,,,,,,,,,,,,25,,0,,,60,117
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,2,,,33,,28,,,,46,,,,,,,,,,,,37,,,,,,,,18,9,18,,,191
,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Belgium,107,52,20,80,71,62,337,341,312,2,,,,,,,,,,,,,,81,84,83,88,51,56,14,8,,,,,,,,,,,,,,,,,,,,,6,,,,,,1855
,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,1,,,,,,,2
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,2,2,,,,2,,,10,,1,,2,,,7,9,,,,,,,,,,,43
,Brazil,,176,,83,86,,,,2,,124,,15,30,,3,4,0,,3,,3,12,87,57,12,243,410,533,237,237,11,5,4,,,10,10,,42,35,45,46,37,47,211,325,304,63,30,,,4,,,,,3586
,Brunei,,,,,,,,,,,,,,,,5,1,18,,,,8,0,1,1,1,0,,13,,,0,,52,52,,,,,,,,,,,,,,,,,,,,,,,152
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,1,,,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
,Cameroon,,,,,,,,,,,,,,0,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Canada,,7,4,249,316,3,16,412,,,,,,,,75,,75,75,,,,,,,,15,15,,25,25,25,24,2,,71,75,,30,30,10,44,53,2,,25,25,26,,,300,367,286,37,240,6,,2990
,CAR,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
,Chile,,,,,10,,,,,,286,,,,2,,,,48,8,,32,5,168,186,,150,,,,,,213,3,132,,141,132,3,,67,,67,,3,4,8,,,11,17,17,17,152,11,,124,2017
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,4,8,34,24,34,4,4,30,30,30,212
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2
,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
,Cuba,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,3
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0,7
,Denmark,63,3,33,256,135,,47,52,43,,,,,10,33,30,30,30,,,21,36,,,,6,9,23,14,,148,148,108,14,14,15,15,10,10,72,12,25,19,6,,,,,,,,,,,,25,42,1557
,DRC (Zaire),,,,,,,,,,,,,3,4,2,,,,,6,4,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,24
,Ecuador,,,,,,151,,,,,,,,,,,,,,,,2,,11,11,11,11,168,,,,7,7,,,,,8,8,,,133,,,,,,,,,,,,,,,,528
,Egypt,126,16,,29,103,28,74,,,,,1,,,,,,,,,,,,34,,141,47,14,39,24,3,142,209,24,24,5,5,5,14,17,10,10,8,8,,,,,,,,,,,,,,1160
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
,Ethiopia,,,8,,,,,,,,,,,,,,1,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Finland,,,16,,,10,14,,21,23,14,,12,2,2,,,,,,,,,,12,15,,,,,19,86,95,95,95,116,,,,20,35,23,,57,48,,,3,,,,,,,,,,833
,France,,451,425,452,250,244,36,,,14,14,14,14,14,,6,45,33,48,48,45,30,15,,,,,,,12,,27,27,15,27,15,24,,12,,12,,,,,,,,,,20,,,,,,,2389
,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Germany (FRG),,,,,,,3,146,333,360,166,81,110,18,,3,63,116,128,63,60,60,105,90,60,10,,,,,,,40,40,40,,20,,64,61,8,8,8,8,8,8,3,,,60,45,,8,15,15,,,2434
,Ghana,,,,,,,,,,,12,15,21,3,30,25,11,,,,,,1,6,13,1,,,4,,,,,,,10,,1,,,1,1,,,1,,,,,,1,1,1,,,,,159
,Greece,6,6,,,,,15,16,,,,,,,,,,,4,,,,,,,,,,1,,,15,15,,,,,,,,,,30,,,,,15,,,22,22,,,100,50,50,367
